"15008B",4.00,4.50,3.83,4.00,4.00,4.33,4.00,4.16,2.83,3.50,1.50,1.33,3.66,3.83,3.50,3.66,3.00,3.33,3.50,3.83,3.33,3.66,4.00,4.50,2.50,2.50,2.16,2.16,3.00,3.00,2.00,1.66,3.66,4.16,3.50,4.00,2.66,3.16,2.83,3.00,3.50,4.16,3.66,4.16,3.83,4.50,3.83,4.00,3.50,3.66,1.50,1.16,1.50,1.50,1.00,0.50,1.00,0.00,1.16,0.66,1.16,0.50,1.33,0.66,2.00,1.66,1.16,0.50,1.50,0.50,1.16,0.33,3.50,4.00,3.66,4.66,3.83,4.33,3.66,4.66,4.16,4.16,3.66,4.66,3.83,4.33,4.00,4.66,3.33,3.83,4.33,4.33
"15011A",4.00,4.80,4.20,4.60,3.80,4.80,4.60,4.60,3.40,3.80,1.80,1.40,3.40,4.20,3.40,4.00,2.00,2.40,2.60,3.00,3.20,3.60,4.00,5.20,2.80,3.60,3.60,4.60,1.80,1.80,2.20,3.00,3.40,4.80,4.00,5.20,3.20,4.20,3.00,3.80,3.40,4.20,3.60,4.40,3.80,4.60,3.20,4.80,1.80,2.40,1.20,0.60,1.60,1.60,1.00,0.00,1.40,1.60,1.20,0.40,1.20,0.60,1.40,1.20,2.00,2.00,1.60,1.20,2.00,2.00,1.20,0.40,3.00,3.20,3.00,4.20,3.20,4.80,3.40,5.00,4.40,5.20,3.00,4.20,3.40,4.20,3.40,4.20,2.00,3.00,3.80,4.60
"15011B",3.80,4.60,4.00,4.60,3.60,4.60,4.40,4.40,3.20,3.80,1.00,0.00,3.40,3.80,3.00,3.20,2.00,2.40,2.60,3.40,3.20,4.00,3.80,4.80,2.40,3.00,3.20,4.20,2.00,2.60,2.60,3.60,3.60,4.20,3.80,4.20,2.80,3.60,1.80,2.20,3.00,3.60,3.00,3.80,3.40,4.20,2.80,3.80,1.80,2.20,1.60,1.20,2.00,2.80,1.20,0.60,1.20,0.40,1.40,1.00,1.20,1.00,1.20,1.40,2.60,3.40,2.00,1.60,2.20,2.20,1.40,1.20,2.80,3.40,3.00,3.40,3.00,4.00,3.20,4.20,4.00,4.60,2.80,3.80,3.20,4.20,3.60,5.00,3.20,4.00,4.00,4.60
"15011C",4.20,4.80,3.80,4.20,4.00,4.60,4.00,4.40,3.00,3.40,1.00,0.20,3.40,3.60,2.60,3.80,2.80,3.40,2.40,3.40,2.80,3.80,3.80,4.40,2.40,3.20,2.00,2.80,3.60,4.00,1.80,2.00,3.80,4.00,3.80,4.20,3.40,3.80,2.60,3.00,3.00,3.60,3.00,3.80,3.60,3.80,3.40,4.00,2.20,2.40,1.20,0.40,1.80,2.20,1.00,0.20,1.20,0.40,1.40,1.00,1.20,0.60,1.80,1.40,3.20,2.60,1.20,0.60,1.60,1.60,1.00,0.20,3.00,3.20,3.00,3.80,3.00,3.60,3.20,4.00,4.00,4.20,3.00,3.40,4.00,4.40,2.40,3.00,2.00,2.80,4.20,5.20
"15014",3.58,4.16,3.41,3.91,3.25,3.91,3.91,4.16,2.91,3.66,2.08,1.91,3.66,4.16,3.58,4.25,2.33,3.16,3.58,4.33,2.83,3.41,4.50,4.91,2.25,2.83,3.08,3.58,2.25,2.83,1.41,1.41,4.16,4.50,3.41,4.33,2.75,3.50,2.66,3.58,3.66,4.25,3.50,4.00,4.16,4.33,3.33,4.33,3.16,3.50,2.00,2.08,3.08,4.00,2.00,2.91,1.00,0.00,2.25,2.58,1.91,2.83,2.50,3.16,4.25,5.08,1.91,2.91,2.16,2.91,1.33,1.33,3.08,3.91,3.50,3.83,3.75,4.08,3.83,4.58,4.16,4.75,3.58,4.16,3.58,4.25,3.00,3.75,3.66,4.33,4.08,4.58
"15017A",3.16,3.50,2.83,3.16,2.83,3.16,3.33,3.50,3.83,4.00,2.33,2.50,3.16,3.50,2.66,2.50,2.16,2.16,3.16,3.16,2.66,2.33,4.00,4.50,2.66,2.33,3.66,3.50,2.00,1.66,2.33,1.83,3.33,3.50,3.00,3.50,3.00,2.83,2.50,2.83,3.33,2.83,3.00,2.83,3.50,3.66,3.16,3.33,3.66,3.33,1.66,1.50,3.66,3.66,1.66,1.16,1.00,0.00,1.33,0.83,1.16,0.66,1.50,1.00,3.33,3.66,1.50,1.16,1.66,1.16,1.33,1.00,3.33,3.33,3.00,3.50,3.00,3.33,3.33,4.00,3.33,3.50,2.83,3.16,3.50,4.00,4.00,4.50,3.83,3.83,3.50,4.00
"15017B",3.66,4.33,3.33,4.16,3.16,4.16,3.50,4.16,3.66,4.66,2.33,3.16,3.83,4.00,3.66,4.16,2.33,3.16,3.66,4.00,2.33,3.00,4.50,5.16,2.83,3.33,3.00,3.50,2.00,2.16,1.50,1.00,4.00,4.33,3.16,3.83,3.33,3.50,2.83,3.00,3.00,3.66,3.33,4.00,3.50,4.00,3.33,4.16,3.16,4.16,1.83,1.83,3.66,4.16,1.66,1.33,1.00,0.00,1.66,1.16,1.50,1.50,2.16,2.00,4.00,4.50,1.50,0.66,2.16,2.16,1.33,0.83,3.50,3.50,3.16,3.16,3.50,4.00,3.66,4.16,4.00,4.33,3.16,3.83,3.83,4.66,3.50,4.33,3.50,4.16,4.33,4.66
"15021A",3.80,3.80,3.60,4.00,3.20,3.60,3.20,3.00,3.00,3.40,3.40,3.20,3.60,3.80,3.80,3.80,2.40,2.80,3.20,3.60,2.40,2.40,3.60,4.00,2.80,2.80,3.40,3.80,2.20,2.80,1.80,1.20,3.20,3.00,2.80,3.60,2.60,2.80,2.60,2.80,2.60,2.40,3.00,3.60,2.80,3.60,2.20,2.00,1.60,1.60,1.60,1.20,2.20,2.40,1.20,0.60,1.60,1.00,1.40,1.20,1.40,1.20,2.20,2.00,3.00,3.00,1.60,1.40,1.80,1.60,1.40,1.20,2.20,2.20,2.20,2.20,2.80,3.00,2.60,2.60,3.20,3.60,2.20,2.20,2.60,2.80,2.80,3.00,3.20,3.20,3.40,3.40
"15021C",3.80,3.80,3.00,3.20,3.00,3.80,3.80,3.80,3.80,3.80,4.00,4.60,3.40,4.20,3.40,3.60,2.60,3.20,2.80,3.40,2.20,2.20,4.00,4.20,2.40,2.20,2.60,2.60,3.60,3.80,1.20,0.40,4.20,4.60,3.00,3.40,2.60,3.00,2.60,2.40,3.00,3.00,3.20,3.20,4.40,4.40,3.20,3.60,3.00,2.40,1.80,1.40,4.00,4.60,2.40,3.60,1.20,0.40,2.60,2.80,2.80,3.60,3.00,3.40,3.00,3.40,2.40,2.60,2.40,2.60,1.80,2.40,2.60,2.60,2.60,3.00,2.80,3.20,3.00,3.60,3.60,3.60,2.60,2.80,3.00,3.00,2.00,1.60,3.80,4.00,3.80,3.80
"15023A",3.66,4.50,3.16,3.66,3.50,3.83,3.83,3.83,3.33,3.66,1.16,1.00,3.66,3.66,3.33,3.50,2.66,2.66,3.16,3.83,2.66,3.00,3.83,4.50,2.16,2.66,3.33,3.66,2.16,1.83,1.66,1.66,3.66,4.00,3.50,3.50,2.50,2.50,1.83,1.50,3.33,3.83,3.33,4.00,3.50,3.50,3.00,3.83,2.66,3.00,1.66,1.50,2.83,3.50,1.00,0.50,1.00,0.00,1.33,0.83,1.83,1.50,2.00,1.33,2.66,2.50,2.33,1.66,1.50,1.16,1.83,1.16,2.83,3.33,3.16,3.83,3.00,4.00,3.00,3.66,3.33,4.16,3.50,3.83,3.33,3.66,3.33,4.00,4.16,4.33,3.16,4.33
