"49021",2.50,4.66,0.00,3.33,4.33,0.33,4.33,0.66,0.66,0.50,0.83,1.33,0.16,1.00,0.83,0.66,1.00,0.83,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.66,0.66,0.83,0.16,0.16,0.16,1.66,1.66,2.00,1.00,1.33,2.00,1.66,3.16,1.16,2.50,1.66,0.66,2.33,1.50,1.50,1.50,1.66,0.00,2.83,2.83,2.33,2.83,2.66,1.50,1.66,0.50,3.50,1.33
"49023A",1.83,5.66,1.16,1.83,4.50,0.66,4.50,1.00,0.66,1.00,1.83,2.00,0.33,1.00,0.66,0.83,0.66,0.16,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.50,0.50,2.16,2.83,0.16,1.50,0.83,0.16,2.16,1.16,2.00,2.00,0.16,0.00,3.00,2.50,3.33,4.00,3.33,1.50,2.00,1.16,3.50,1.00
"49023B",1.33,4.83,0.33,0.50,4.00,0.66,4.16,0.66,0.33,0.50,1.00,1.50,0.00,0.50,0.16,0.50,0.50,0.16,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.00,0.00,0.00,0.16,0.16,0.16,0.33,0.33,0.50,0.16,0.33,0.50,2.50,2.66,0.66,1.66,0.83,0.33,2.33,0.83,2.16,1.33,0.00,0.00,3.33,2.00,3.66,4.33,3.83,1.33,2.50,1.66,3.67,0.67
"49026",4.60,6.00,0.00,4.60,3.80,0.80,4.60,0.00,0.40,0.60,1.60,2.00,0.80,0.80,1.40,1.40,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20,1.00,1.00,0.00,0.00,0.00,2.20,2.60,0.20,2.60,1.60,0.60,1.40,1.40,1.20,1.00,0.60,0.00,1.60,3.40,1.40,2.40,2.60,2.40,1.20,0.40,2.20,2.80
"49032A",4.25,6.75,2.00,5.00,4.00,1.00,5.00,1.25,1.00,0.50,1.25,1.75,0.50,1.50,1.25,1.25,1.50,0.75,0.25,0.00,0.00,0.00,0.50,0.50,0.75,0.25,0.25,0.25,0.50,0.50,0.75,1.00,0.75,1.25,0.75,1.25,1.75,1.75,2.50,0.25,2.25,1.25,1.00,2.25,1.25,1.50,2.00,0.75,0.25,1.50,2.00,1.00,1.50,2.00,1.50,1.50,0.25,2.50,2.25
"49032B",5.00,5.50,0.25,4.00,3.25,0.25,4.00,0.25,0.25,0.25,0.75,0.75,0.50,1.25,1.50,1.75,1.00,0.75,0.25,0.00,0.00,0.00,0.50,0.50,0.75,0.25,0.25,0.25,0.00,0.00,0.00,0.25,0.50,0.50,0.25,0.50,0.50,1.25,3.00,0.50,2.50,0.75,1.50,1.00,1.50,1.00,2.25,0.25,0.25,1.00,2.50,1.00,2.00,2.00,1.00,2.00,0.25,2.50,2.00
"49999A",4.60,3.20,0.00,2.80,2.80,0.80,2.20,0.80,0.00,1.00,1.40,1.00,0.20,0.40,0.20,0.20,0.20,0.20,0.00,0.20,0.40,0.40,0.00,0.20,0.20,0.00,0.20,0.20,0.20,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,2.80,2.20,0.20,1.20,1.20,0.60,2.60,1.60,0.80,0.20,0.40,0.40,3.00,2.80,1.00,3.40,2.80,1.20,1.40,0.80,2.80,1.40
"49999B",4.20,4.80,0.40,3.40,3.80,0.40,3.80,1.80,0.40,1.60,0.80,0.80,0.00,0.20,0.20,0.20,0.20,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.40,0.80,1.80,2.60,0.80,1.60,1.40,0.40,2.20,1.80,1.20,0.20,0.20,0.00,2.20,2.20,1.20,2.20,3.20,1.20,0.40,0.40,3.80,0.60
"49999C",4.60,6.40,0.40,3.80,4.00,0.60,4.20,1.40,0.60,1.00,1.60,1.80,0.20,0.40,0.40,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.80,0.40,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.40,2.00,2.80,0.60,2.20,1.40,1.00,1.60,1.40,0.80,0.80,0.00,0.00,2.40,3.20,1.60,2.60,3.00,1.80,1.20,0.20,3.60,0.80
"51002A",3.50,5.66,4.16,2.00,3.83,2.00,4.00,3.16,2.50,5.00,2.16,1.83,0.33,0.83,0.33,0.50,0.66,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,0.16,0.33,0.33,0.33,2.66,2.16,0.00,2.16,0.66,0.16,1.00,0.66,1.00,0.66,0.33,0.16,3.50,3.66,3.16,3.16,3.66,2.16,1.33,0.83,3.83,0.67
