"15017B",4.66,4.83,1.50,1.33,2.16,1.83,1.50,0.66,1.16,0.50,3.83,4.16,2.00,1.33,1.00,0.00,1.50,1.50,1.83,1.66,3.16,3.00,4.16,5.33,3.50,2.83,3.00,2.50,1.83,1.66,1.00,0.83,1.00,0.00,1.83,1.00,1.16,0.50,1.16,0.66,1.00,0.16,1.16,0.33,1.83,1.33,3.00,2.50,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.50,3.50,2.83,2.33,1.50,1.16,2.00,1.83,1.33,1.00
"15021A",4.50,4.16,1.83,1.50,3.16,3.00,1.00,0.00,1.00,0.00,3.66,4.50,4.00,4.00,1.00,0.00,1.33,0.33,3.00,2.66,3.16,3.33,2.33,3.00,1.66,1.50,3.00,2.83,2.00,1.66,1.16,0.33,1.00,0.00,1.50,1.00,1.16,0.16,2.50,2.16,1.00,0.00,1.00,0.00,1.00,0.00,2.33,2.16,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,3.33,3.50,2.50,2.00,1.66,1.00,1.66,1.16,1.66,1.16
"15021C",4.66,4.50,1.33,0.50,2.50,1.50,1.00,0.00,1.00,0.00,1.33,0.50,3.66,3.66,1.00,0.00,1.16,0.33,3.16,3.50,1.50,1.00,2.50,2.50,3.00,3.33,2.83,3.16,2.33,2.66,1.50,1.16,1.00,0.00,1.33,0.50,1.00,0.00,1.33,0.83,1.00,0.00,1.00,0.00,1.16,0.50,2.66,2.16,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.66,1.16,1.00,0.00,1.50,0.50,1.16,0.33,1.50,0.83
"15023A",4.66,4.33,1.83,1.33,3.83,4.16,2.33,2.50,2.33,2.33,3.66,4.83,1.50,1.33,1.00,0.00,1.66,1.33,2.33,1.83,1.50,0.50,1.00,0.33,1.66,2.00,4.00,4.33,1.66,1.50,1.00,0.16,1.00,0.00,2.16,2.00,1.33,0.50,3.00,2.16,1.00,0.00,1.00,0.00,2.16,1.66,2.83,2.00,1.16,0.66,1.00,0.00,1.00,0.00,1.00,0.00,3.16,3.16,3.50,3.33,1.83,1.66,2.50,2.16,4.83,4.00
"15023B",4.60,4.60,1.80,1.60,2.80,3.00,1.60,1.60,1.40,1.40,4.20,4.00,1.80,1.60,1.00,0.00,2.40,3.20,2.20,3.20,1.60,1.40,1.20,0.80,2.00,2.00,3.40,4.00,1.40,1.00,1.20,0.20,1.00,0.00,2.60,2.20,1.40,0.60,1.00,0.20,1.00,0.00,1.20,0.40,2.20,2.40,3.40,3.40,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.20,0.60,2.20,1.80,4.20,4.80,3.60,3.80,1.00,0.00
"15023C",4.83,5.00,1.83,1.83,3.83,4.33,1.83,2.00,2.00,2.16,4.16,3.66,1.83,2.16,1.00,0.00,2.16,1.50,3.00,3.50,3.16,3.83,1.83,2.33,2.00,2.33,4.00,4.16,2.33,3.00,1.33,1.00,1.00,0.00,2.33,2.16,1.16,0.50,1.33,0.33,1.00,0.00,1.00,0.00,2.50,2.33,2.83,1.83,1.00,0.00,1.00,0.00,1.00,0.00,1.16,0.33,2.16,1.83,1.50,1.16,1.33,0.83,2.50,1.66,1.33,0.66
"15023D",4.50,4.50,2.50,2.00,3.00,2.66,2.66,2.33,2.33,1.83,4.16,4.00,3.83,4.16,1.00,0.00,1.83,1.66,1.33,0.83,3.00,2.83,1.33,1.50,1.33,0.83,4.16,3.66,1.33,0.83,1.00,0.00,1.00,0.00,2.66,2.33,1.50,0.50,2.66,1.66,1.00,0.00,1.00,0.00,3.50,3.16,2.83,2.16,1.16,0.33,1.00,0.00,1.00,0.00,1.16,0.16,3.50,2.83,2.33,2.16,1.50,1.33,2.83,2.50,4.16,3.16
"15026A",5.00,4.66,3.50,3.16,3.50,3.00,3.33,3.00,4.83,5.00,4.16,3.83,1.33,0.50,1.50,1.16,1.83,2.00,2.50,2.00,1.33,0.83,2.66,2.83,3.00,3.16,3.16,2.50,1.66,1.33,2.16,2.00,1.50,0.66,2.33,2.50,2.00,1.83,2.66,2.33,2.00,1.66,1.50,1.00,1.83,1.66,3.50,2.33,1.50,1.16,1.00,0.33,1.33,1.16,1.33,1.16,3.50,3.83,2.83,2.50,2.50,2.33,2.50,1.83,1.66,1.16
"15026B",5.00,4.66,2.66,2.83,3.50,3.66,3.00,2.83,4.16,4.16,3.33,4.00,2.83,3.00,2.66,2.50,1.16,1.33,1.33,1.16,1.33,0.83,1.16,0.50,2.00,1.83,3.33,3.16,1.16,0.83,2.00,2.00,1.83,1.50,2.66,2.50,1.66,1.16,1.16,1.00,2.00,1.66,1.83,1.83,3.33,4.00,3.16,2.50,1.16,0.66,1.50,1.33,1.16,0.83,1.33,0.66,3.33,3.16,3.33,3.16,1.33,0.66,2.33,2.00,1.50,1.33
"15031",4.66,4.33,2.50,2.83,2.83,2.66,3.00,3.00,2.50,2.50,3.66,3.66,3.16,3.50,2.83,2.83,1.83,1.66,1.16,0.83,2.66,3.00,1.00,0.33,1.33,1.00,2.50,2.33,1.50,1.33,3.33,3.50,4.33,4.33,2.16,2.00,1.50,0.66,1.50,0.83,1.00,0.00,1.33,0.66,3.16,3.00,3.33,3.16,1.16,0.33,1.50,0.83,1.00,0.00,1.00,0.00,1.33,0.66,1.50,1.16,1.83,1.00,2.83,3.16,1.16,0.66
