"21111",3.12,3.08,2.43,3.20,3.33,2.54,3.37,2.87,3.50,2.62,2.25,3.62,3.37,3.37,1.75,3.62,3.00,2.25,2.87,2.37,3.25,2.62,3.50,2.87,1.62,4.00,3.00
"21114A",3.62,3.79,3.40,3.08,3.16,3.37,3.87,3.37,4.00,3.25,3.12,3.75,4.12,3.25,2.62,3.62,3.00,3.37,3.75,4.12,3.00,3.87,3.50,2.25,2.50,4.37,3.75
"21114B",3.43,3.47,3.09,3.04,3.25,3.08,3.62,3.25,3.50,3.50,3.37,3.75,3.75,3.50,2.37,3.25,3.00,2.50,3.50,3.62,2.62,3.00,3.50,2.50,2.87,3.87,3.37
"21114C",3.00,3.37,2.78,2.91,3.20,3.12,3.12,2.87,3.50,3.75,2.25,3.50,3.25,3.00,2.87,3.75,3.62,2.37,3.37,3.50,2.12,2.75,3.37,2.75,2.25,4.00,3.12
"21117",3.37,3.43,3.18,2.91,3.37,3.12,3.62,3.12,3.75,3.75,3.12,3.62,3.50,3.25,2.50,3.12,3.25,2.75,3.37,3.37,2.25,3.12,3.75,2.75,3.00,3.87,3.50
"21199B",3.43,3.25,3.09,3.54,3.25,3.20,3.25,3.62,3.25,2.87,3.12,3.50,2.87,3.50,2.62,2.87,3.37,2.87,3.50,3.62,3.75,3.50,3.37,2.87,2.87,4.00,3.50
"21302",3.31,3.35,3.15,3.12,3.37,3.41,3.37,3.25,3.75,3.50,3.00,3.75,3.25,3.50,3.25,2.62,3.62,3.00,3.62,3.25,2.25,3.12,3.37,3.00,3.37,3.87,3.37
"21305A",3.37,3.08,2.90,3.16,3.00,3.41,3.37,3.37,3.25,3.00,3.12,3.37,3.12,3.75,2.87,2.87,3.25,2.75,3.75,3.00,2.50,2.75,3.12,2.50,3.00,3.25,3.62
"21308A",3.50,3.31,3.12,2.91,3.12,3.25,3.50,3.50,3.62,3.25,3.37,3.37,3.50,3.12,2.87,2.62,3.00,2.87,3.37,3.25,2.62,3.00,3.25,2.75,3.37,3.50,3.50
"21308B",3.75,3.43,3.40,3.20,3.16,3.91,4.00,3.50,3.25,3.37,3.37,3.75,3.50,3.50,3.87,2.87,3.75,3.12,3.75,3.62,2.37,3.75,3.62,2.12,3.37,4.00,4.12
"21308C",3.18,3.29,2.78,2.95,3.25,2.95,3.37,3.00,3.62,3.37,2.25,3.50,3.12,3.37,2.50,3.50,3.75,2.50,3.12,3.37,1.75,3.00,3.50,2.75,2.37,3.75,3.25
"21502",2.75,2.97,2.71,3.29,3.45,2.16,2.62,2.87,3.37,3.00,3.00,3.25,2.62,3.00,1.25,2.62,3.25,2.12,2.75,3.87,3.62,2.75,3.62,3.50,2.00,3.37,2.50
"21505",3.00,3.31,3.21,3.45,3.79,3.20,3.00,3.00,3.37,3.87,3.12,4.12,3.37,3.87,2.50,2.87,3.62,2.87,3.50,3.75,2.87,3.00,4.00,3.25,2.75,3.75,3.62
"21508",3.18,3.10,2.71,3.45,3.37,2.79,3.12,3.25,3.50,3.00,2.62,3.50,2.87,3.37,2.25,2.37,3.37,2.62,3.00,3.50,3.62,2.62,3.50,3.12,2.50,3.87,3.12
"21511A",3.68,3.25,2.93,3.25,3.04,3.45,3.75,3.62,3.50,2.87,3.12,3.37,3.12,3.62,3.00,2.50,3.50,2.75,3.75,3.12,2.62,3.00,3.25,2.50,3.25,4.00,3.62
"21511B",3.68,3.35,3.25,3.66,3.08,3.41,3.50,3.87,4.00,3.25,3.62,3.25,3.12,3.75,3.00,2.37,3.50,2.75,3.62,3.37,3.75,3.37,3.25,2.75,3.25,4.00,3.62
"21511C",3.87,3.39,3.46,3.79,3.29,3.54,3.62,4.12,3.62,3.25,3.62,3.87,3.00,4.00,3.50,2.50,3.25,3.25,3.62,3.50,4.12,3.75,3.50,2.50,3.75,4.00,3.50
"21511D",3.68,3.41,3.53,3.75,3.37,3.79,3.50,3.87,3.62,3.12,4.00,3.87,3.37,4.00,3.75,2.50,3.50,3.37,3.87,3.37,3.75,3.62,3.37,2.87,3.50,4.12,3.75
"21511E",3.43,3.35,3.00,3.20,3.54,3.33,3.12,3.75,3.75,3.25,2.75,3.87,3.12,3.25,2.87,2.75,3.12,2.75,3.62,3.50,3.25,3.25,3.87,2.87,3.00,4.00,3.50
"21511F",4.06,3.25,3.28,2.91,2.54,3.58,3.75,4.37,3.00,2.75,3.25,3.00,3.75,2.75,3.37,2.75,2.62,3.50,3.50,3.00,3.37,3.62,2.25,2.37,3.12,3.87,3.87
"21902",3.12,3.29,2.68,2.62,3.16,3.04,3.37,2.87,3.25,3.12,2.00,3.37,3.12,2.87,2.25,3.62,3.00,2.62,3.50,3.37,2.00,3.00,3.37,2.75,2.37,4.00,3.37
"21905",4.12,3.52,3.56,3.29,3.08,4.00,4.00,4.25,3.37,3.12,3.62,3.62,4.00,3.62,4.25,2.62,3.25,3.62,3.75,3.25,3.00,3.87,3.25,2.37,3.62,4.25,4.00
"21908A",3.18,3.12,2.71,2.62,3.20,3.25,3.25,3.12,3.25,3.00,2.50,3.25,3.12,2.87,1.75,3.50,2.75,2.50,4.12,3.50,2.25,2.87,3.25,3.12,2.62,2.75,3.87
"21908B",2.43,2.93,2.34,2.37,3.29,2.95,2.62,2.25,2.87,2.50,2.37,3.12,2.62,2.00,2.00,4.25,3.75,2.25,3.50,3.62,1.37,2.25,3.37,3.37,1.50,2.75,3.37
"21911A",3.75,3.43,3.06,3.00,3.50,3.37,3.50,4.00,3.62,3.12,3.50,3.62,3.25,3.25,2.62,3.12,2.75,2.50,3.75,4.12,3.00,3.12,3.37,3.50,3.12,3.37,3.75
"21911B",3.68,3.25,3.06,3.00,3.62,3.08,3.50,3.87,3.62,3.37,3.12,3.75,3.00,3.50,2.12,3.12,2.75,2.62,3.50,3.75,2.75,3.12,4.00,3.12,3.25,2.75,3.62
"21911C",2.87,3.08,2.93,2.95,3.79,2.58,2.75,3.00,3.50,3.25,3.00,3.75,2.62,3.37,1.62,2.75,2.87,2.50,3.37,3.87,2.62,3.00,4.00,3.62,2.50,3.25,2.75
"21911D",2.62,3.14,2.90,3.20,3.62,2.91,2.62,2.62,3.25,2.87,3.12,3.87,3.00,3.37,1.75,2.75,3.12,2.62,3.50,3.87,3.12,3.00,3.75,3.25,2.62,3.37,3.50
"21911E",3.56,3.27,3.03,3.04,3.41,3.25,3.37,3.75,3.12,2.75,3.12,3.50,3.25,3.37,2.50,3.00,3.25,2.87,3.75,3.75,2.50,3.37,3.50,3.25,3.37,3.12,3.50
