"22126B",6.33,6.66,2.66,2.33,3.33,3.66,2.00,1.00,0.00
"22127",6.33,6.33,2.33,2.00,3.33,5.00,2.00,1.00,6.00
"22128",4.66,5.33,2.33,3.33,6.00,4.00,5.00,2.00,1.00
"22132A",4.00,5.66,2.00,4.00,5.33,4.00,2.00,5.00,0.00
"22132B",4.00,6.00,2.00,3.66,5.00,4.33,2.00,5.00,6.00
"22132C",5.00,6.00,2.00,3.00,3.33,4.00,2.00,1.00,6.00
"22135",6.66,5.33,2.66,2.66,3.33,3.66,1.00,2.00,0.00
"22138",6.00,5.66,2.33,2.33,2.66,4.00,1.00,2.00,6.00
"22197",5.33,6.33,3.33,2.33,2.33,3.66,2.00,1.00,0.00
"22302",5.33,5.00,6.33,3.00,4.00,3.33,3.00,1.00,2.00
"22305",6.00,5.33,4.00,2.33,3.33,3.33,1.00,2.00,0.00
"22308",6.00,5.00,6.00,3.00,3.66,3.33,3.00,1.00,2.00
"22311A",4.66,4.66,4.33,2.00,2.33,5.66,6.00,1.00,2.00
"22311B",4.33,6.33,2.66,3.00,5.33,4.00,2.00,5.00,0.00
"22502",6.33,5.33,2.33,2.00,2.66,4.00,1.00,2.00,6.00
"22505A",7.00,5.33,2.66,2.33,3.00,4.00,1.00,2.00,0.00
"22505B",6.66,4.66,3.00,2.33,3.00,5.00,1.00,6.00,2.00
"22505C",6.66,5.00,2.66,2.33,3.33,3.33,1.00,2.00,0.00
"22508",3.33,6.00,2.33,2.66,2.66,5.00,2.00,6.00,0.00
"22511",6.66,6.00,2.66,2.00,2.33,3.66,1.00,2.00,0.00
"22514A",6.00,3.66,4.33,2.33,2.33,4.00,1.00,3.00,6.00
"22514B",6.33,5.00,3.00,2.00,2.00,5.33,1.00,6.00,2.00
"22514C",6.00,3.66,3.66,2.33,2.66,4.66,1.00,6.00,0.00
"22514D",6.33,4.33,3.33,2.00,2.00,5.33,1.00,6.00,2.00
"22517",4.66,4.33,2.00,2.00,2.33,6.00,6.00,1.00,2.00
"22521A",6.33,4.33,3.00,2.00,2.66,5.33,1.00,6.00,2.00
"22521B",5.33,3.66,2.66,2.00,2.00,6.33,6.00,1.00,0.00
