	(1)	(2)	(3)	(4)
	[0.554]		[0.300]	
_Iind6090_500	1.642***		0.023	
	[0.297]		[0.321]	
_Iind6090_536	1.120***		0.673**	
	[0.312]		[0.262]	
_Iind6090_541	1.329***		0.040	
	[0.295]		[0.266]	
_Iind6090_542	2.272***		-0.237	
	[0.373]		[0.456]	
_Iind6090_550	2.179***		-0.012	
	[0.253]		[0.244]	
_Iind6090_551	1.515***		0.993*	
	[0.587]		[0.519]	
_Iind6090_552	2.534***		0.462	
	[0.347]		[0.305]	
_Iind6090_566	1.735***		0.182	
	[0.179]		[0.170]	
_Iind6090_571	1.134***		0.580*	
	[0.369]		[0.350]	
_Iind6090_580	1.277***		0.265	
	[0.302]		[0.279]	
_Iind6090_581	1.820***		0.518*	
	[0.391]		[0.282]	
_Iind6090_592	1.670***		0.082	
	[0.512]		[0.526]	
_Iind6090_602	2.790***		-1.537***	
	[0.881]		[0.484]	
_Iind6090_621	1.671***		0.201	
	[0.314]		[0.217]	
_Iind6090_626	1.274***		0.348**	
	[0.173]		[0.142]	
_Iind6090_630	0.316		0.808***	
	[0.246]		[0.242]	
_Iind6090_631	-0.881**		1.330***	
	[0.399]		[0.314]	
_Iind6090_632	1.160***		-0.249	
	[0.257]		[0.325]	
_Iind6090_636	1.880***		-0.290*	
	[0.191]		[0.154]	
_Iind6090_640	1.100***		0.250	
	[0.336]		[0.264]	
_Iind6090_641	-0.106		-0.044	
	[0.116]		[0.129]	
_Iind6090_642	0.684**		0.707***	
	[0.341]		[0.266]	
_Iind6090_646	1.502***		0.018	
	[0.160]		[0.173]	
_Iind6090_650	1.824**		0.190	
	[0.783]		[0.460]	
_Iind6090_660	-0.138		0.803***	
	[0.326]		[0.268]	
_Iind6090_672	2.947***		-0.806***	
	[0.384]		[0.267]	
_Iind6090_681	-0.366		1.277***	
	[0.505]		[0.342]	
_Iind6090_691	1.007***		0.446*	
	[0.278]		[0.255]	
_Iind6090_696	1.044***		0.165	
	[0.195]		[0.154]	
_Iind6090_706	3.109***		0.800***	
	[0.149]		[0.149]	
_Iind6090_710	2.654***		1.555***	
	[0.222]		[0.206]	
_Iind6090_711	1.474***		0.973***	
	[0.204]		[0.153]	
_Iind6090_712	0.308		0.924***	
	[0.194]		[0.176]	
_Iind6090_721	1.550***		0.792***	
	[0.363]		[0.297]	
_Iind6090_736	2.072***		0.061	
	[0.126]		[0.116]	
_Iind6090_756	2.090***		-0.527***	
	[0.137]		[0.167]	
_Iind6090_761	-1.611***		-0.495***	
	[0.121]		[0.133]	
_Iind6090_766	0.936***		-1.144***	
	[0.154]		[0.143]	
_Iind6090_771	2.398***		-1.207***	
	[0.239]		[0.263]	
_Iind6090_776	-0.794***		0.040	
	[0.144]		[0.133]	
_Iind6090_782	1.241***		0.738***	
	[0.460]		[0.250]	
_Iind6090_786	0.939***		-0.181	
	[0.119]		[0.135]	
_Iind6090_790	2.720***		-2.938***	
	[0.160]		[0.252]	
_Iind6090_800	1.207***		-0.289	
	[0.325]		[0.242]	
_Iind6090_801	-0.437		0.362	
	[0.629]		[0.743]	
_Iind6090_802	0.619***		0.188	
	[0.172]		[0.160]	
_Iind6090_826	0.720***		0.738***	
	[0.138]		[0.114]	
_Iind6090_831	2.473***		0.608***	
	[0.151]		[0.125]	
_Iind6090_841	1.949***		0.671***	
	[0.281]		[0.202]	
_Iind6090_856	0.377***		0.481***	
	[0.121]		[0.115]	
_Iind6090_876	-0.143		1.230***	
	[0.185]		[0.162]	
_Iind6090_881	0.981***		0.472**	
	[0.241]		[0.203]	
_Iind6090_882	1.788***		0.788***	
	[0.278]		[0.192]	
_Iind6090_890	3.072***		-0.336**	
	[0.176]		[0.162]	
_Iind6090_901	1.640***		0.541***	
	[0.144]		[0.124]	
math		-0.152***		-0.182***
		[0.027]		[0.016]
number_facility		0.656***		-0.055***
		[0.019]		[0.012]
reason		0.363***		0.043***
		[0.024]		[0.013]
info_use		-1.012***		0.900***
		[0.025]		[0.014]
				
Observations	94,886	94,886	94,886	94,886
R-squared	0.211	0.238	0.307	0.670
Robust standard errors in brackets				
*** p<0.01, ** p<0.05, * p<0.10				
