	(1)	(2)	(3)	(4)
_Iind6090_212	3.577***		-1.399***	
	[0.218]		[0.237]	
_Iind6090_220	3.091***		-0.738	
	[1.029]		[0.899]	
_Iind6090_221	4.503***		-2.360***	
	[0.384]		[0.386]	
_Iind6090_222	3.065***		1.166	
	[0.643]		[0.810]	
_Iind6090_230	1.744***		0.167	
	[0.370]		[0.372]	
_Iind6090_231	2.892***		-0.888**	
	[0.336]		[0.396]	
_Iind6090_236	3.341***		-1.507***	
	[0.241]		[0.312]	
_Iind6090_241	2.915***		-1.456***	
	[0.300]		[0.327]	
_Iind6090_242	2.976***		-1.619***	
	[0.204]		[0.242]	
_Iind6090_246	2.573***		-0.162	
	[0.234]		[0.222]	
_Iind6090_250	3.303***		-1.550***	
	[0.198]		[0.304]	
_Iind6090_251	3.365***		-1.450***	
	[0.352]		[0.311]	
_Iind6090_252	3.908***		-2.355***	
	[0.510]		[0.195]	
_Iind6090_261	2.430***		-1.095***	
	[0.487]		[0.366]	
_Iind6090_262	2.660***		-0.698	
	[0.476]		[0.670]	
_Iind6090_270	4.110***		-1.150***	
	[0.398]		[0.371]	
_Iind6090_271	3.763***		-1.827***	
	[0.323]		[0.263]	
_Iind6090_281	3.456***		-0.957	
	[0.565]		[0.656]	
_Iind6090_282	3.517***		-1.240***	
	[0.261]		[0.264]	
_Iind6090_301	3.819***		-1.253***	
	[0.344]		[0.374]	
_Iind6090_311	2.423***		-0.958*	
	[0.496]		[0.570]	
_Iind6090_346	3.059***		-0.880***	
	[0.197]		[0.204]	
_Iind6090_351	3.330***		-1.487***	
	[0.150]		[0.194]	
_Iind6090_360	3.096***		-1.605***	
	[0.243]		[0.193]	
_Iind6090_362	2.585***		-0.674***	
	[0.251]		[0.235]	
_Iind6090_380	3.726***		-0.847***	
	[0.555]		[0.319]	
_Iind6090_381	1.416		0.584	
	[1.094]		[1.913]	
_Iind6090_391	3.042***		-0.964***	
	[0.206]		[0.225]	
_Iind6090_392	3.266***		-0.774***	
	[0.243]		[0.279]	
_Iind6090_400	2.290***		-0.574	
	[0.318]		[0.358]	
_Iind6090_401	2.268***		-0.654***	
	[0.187]		[0.253]	
_Iind6090_402	3.976***		-0.618**	
	[0.216]		[0.267]	
_Iind6090_410	2.797***		-0.110	
	[0.124]		[0.125]	
_Iind6090_411	2.068***		-0.270	
	[0.268]		[0.310]	
_Iind6090_412	3.076***		-1.984***	
	[0.215]		[0.223]	
_Iind6090_420	1.449***		0.118	
	[0.277]		[0.311]	
_Iind6090_421	2.922***		-0.423*	
	[0.335]		[0.244]	
_Iind6090_422	1.927**		-1.122	
	[0.978]		[1.266]	
_Iind6090_432	1.527***		0.835***	
	[0.271]		[0.264]	
_Iind6090_441	2.017***		0.198	
	[0.249]		[0.195]	
_Iind6090_442	1.731***		0.459**	
	[0.272]		[0.201]	
_Iind6090_460	2.898***		-1.318***	
	[0.246]		[0.252]	
_Iind6090_461	2.393***		-1.257***	
	[0.337]		[0.333]	
_Iind6090_462	2.598***		-0.805***	
	[0.466]		[0.300]	
_Iind6090_470	2.702***		-0.635	
	[0.509]		[0.504]	
_Iind6090_471	3.671***		-1.199***	
	[0.221]		[0.247]	
_Iind6090_472	3.184***		-1.309***	
	[0.451]		[0.272]	
_Iind6090_500	1.763***		0.039	
	[0.257]		[0.291]	
_Iind6090_536	1.146***		0.672***	
	[0.269]		[0.236]	
_Iind6090_541	1.416***		0.024	
	[0.289]		[0.253]	
_Iind6090_542	2.319***		-0.220	
	[0.354]		[0.405]	
_Iind6090_550	2.241***		-0.062	
	[0.232]		[0.228]	
_Iind6090_551	1.705***		0.635	
	[0.483]		[0.473]	
_Iind6090_552	2.501***		0.466*	
	[0.311]		[0.274]	
_Iind6090_566	1.838***		0.148	
