	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage	ln_wage
							
_Imetro_1	0.160***	0.135***	0.135***	0.131***	0.126***	0.132***	0.126***
	[0.010]	[0.009]	[0.009]	[0.009]	[0.009]	[0.009]	[0.009]
_Imetro_2	0.150***	0.118***	0.119***	0.115***	0.107***	0.116***	0.107***
	[0.011]	[0.010]	[0.010]	[0.010]	[0.010]	[0.010]	[0.010]
_Imetro_3	0.127***	0.101***	0.101***	0.094***	0.084***	0.094***	0.084***
	[0.013]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]	[0.012]
_Imetro_4	0.223***	0.197***	0.197***	0.194***	0.175***	0.194***	0.175***
	[0.054]	[0.051]	[0.051]	[0.052]	[0.051]	[0.052]	[0.051]
_Iurban_1	0.087***	0.061***	0.061***	0.056***	0.043***	0.056***	0.043***
	[0.009]	[0.009]	[0.009]	[0.009]	[0.008]	[0.009]	[0.008]
_Iurban_2	-0.023	-0.039	-0.038	-0.036	-0.052	-0.036	-0.052
	[0.035]	[0.033]	[0.033]	[0.033]	[0.033]	[0.033]	[0.033]
afqt_noncog						0.004	-0.002
						[0.004]	[0.004]
							
Observations	109,404	109,404	109,404	105,722	105,722	105,722	105,722
R-squared	0.200	0.272	0.272	0.278	0.296	0.278	0.296
Robust standard errors in brackets							
*** p<0.01, ** p<0.05, * p<0.10							
