	(1)	(2)	(3)	(4)
	[0.232]		[0.266]	
_Iind6090_236	3.075***		-1.434***	
	[0.245]		[0.361]	
_Iind6090_241	2.972***		-1.418***	
	[0.247]		[0.294]	
_Iind6090_242	2.895***		-1.597***	
	[0.154]		[0.173]	
_Iind6090_246	2.593***		-0.349*	
	[0.191]		[0.197]	
_Iind6090_250	3.357***		-1.497***	
	[0.180]		[0.218]	
_Iind6090_251	3.241***		-1.280***	
	[0.222]		[0.255]	
_Iind6090_252	3.762***		-2.181***	
	[0.337]		[0.216]	
_Iind6090_261	2.617***		-1.193***	
	[0.524]		[0.418]	
_Iind6090_262	2.687***		-0.842*	
	[0.334]		[0.457]	
_Iind6090_270	4.024***		-1.278***	
	[0.234]		[0.291]	
_Iind6090_271	3.827***		-1.739***	
	[0.240]		[0.257]	
_Iind6090_281	3.431***		-1.126**	
	[0.443]		[0.535]	
_Iind6090_282	3.638***		-1.445***	
	[0.175]		[0.187]	
_Iind6090_301	3.738***		-1.243***	
	[0.296]		[0.295]	
_Iind6090_311	2.563***		-0.930**	
	[0.467]		[0.429]	
_Iind6090_346	3.081***		-0.977***	
	[0.152]		[0.159]	
_Iind6090_351	3.321***		-1.573***	
	[0.112]		[0.144]	
_Iind6090_360	3.019***		-1.350***	
	[0.207]		[0.192]	
_Iind6090_362	2.662***		-0.845***	
	[0.210]		[0.180]	
_Iind6090_380	3.427***		-0.911***	
	[0.444]		[0.267]	
_Iind6090_381	2.522**		-0.751	
	[1.077]		[1.681]	
_Iind6090_391	3.067***		-1.113***	
	[0.159]		[0.182]	
_Iind6090_392	3.138***		-0.812***	
	[0.196]		[0.218]	
_Iind6090_400	2.301***		-0.524*	
	[0.323]		[0.307]	
_Iind6090_401	2.235***		-0.451***	
	[0.137]		[0.154]	
_Iind6090_402	3.874***		-0.389*	
	[0.185]		[0.199]	
_Iind6090_410	2.724***		-0.030	
	[0.088]		[0.092]	
_Iind6090_411	2.100***		-0.505**	
	[0.172]		[0.217]	
_Iind6090_412	3.074***		-1.969***	
	[0.161]		[0.131]	
_Iind6090_420	1.686***		-0.308	
	[0.307]		[0.362]	
_Iind6090_421	2.689***		-0.368*	
	[0.214]		[0.202]	
_Iind6090_422	2.410***		-1.899**	
	[0.479]		[0.748]	
_Iind6090_432	1.804***		0.424*	
	[0.222]		[0.219]	
_Iind6090_441	2.001***		0.115	
	[0.203]		[0.162]	
_Iind6090_442	1.597***		0.540***	
	[0.185]		[0.142]	
_Iind6090_460	2.805***		-1.258***	
	[0.188]		[0.184]	
_Iind6090_461	2.331***		-1.261***	
	[0.276]		[0.277]	
_Iind6090_462	2.288***		-0.740***	
	[0.323]		[0.271]	
_Iind6090_470	2.503***		-0.336	
	[0.285]		[0.397]	
_Iind6090_471	3.551***		-1.021***	
	[0.155]		[0.179]	
_Iind6090_472	2.668***		-0.962***	
	[0.359]		[0.313]	
_Iind6090_500	1.956***		-0.114	
	[0.221]		[0.241]	
_Iind6090_536	1.195***		0.611***	
	[0.207]		[0.187]	
_Iind6090_541	1.443***		0.099	
	[0.251]		[0.238]	
_Iind6090_542	2.063***		0.008	
	[0.410]		[0.419]	
_Iind6090_550	2.275***		-0.170	
	[0.167]		[0.175]	
_Iind6090_551	1.876***		0.055	
	[0.322]		[0.370]	
_Iind6090_552	2.257***		0.402	
	[0.358]		[0.262]	
_Iind6090_566	1.962***		0.034	
	[0.115]		[0.110]	
_Iind6090_571	1.417***		0.513*	
	[0.289]		[0.292]	
_Iind6090_580	1.313***		0.304*	
	[0.220]		[0.183]	
_Iind6090_581	1.526***		0.564**	
	[0.435]		[0.268]	
_Iind6090_592	1.168***		0.398	
	[0.344]		[0.322]	
_Iind6090_602	1.858***		0.034	
	[0.543]		[0.505]	
_Iind6090_621	1.516***		0.261*	
	[0.210]		[0.140]	
_Iind6090_626	1.011***		0.520***	
	[0.121]		[0.096]	
_Iind6090_630	0.369**		0.827***	
	[0.185]		[0.148]	
_Iind6090_631	-0.697**		1.481***	
	[0.323]		[0.223]	
_Iind6090_632	1.168***		-0.003	
	[0.194]		[0.227]	
_Iind6090_636	1.821***		-0.232**	
	[0.142]		[0.112]	
_Iind6090_640	0.580**		0.689***	
	[0.231]		[0.176]	
_Iind6090_641	-0.164**		0.102	
	[0.081]		[0.086]	
_Iind6090_642	0.623**		0.659***	
	[0.274]		[0.188]	
_Iind6090_646	1.491***		0.046	
	[0.134]		[0.134]	
_Iind6090_650	2.179***		0.317	
	[0.438]		[0.247]	
_Iind6090_660	-0.053		1.000***	
