	(1)	(2)	(3)	(4)
_Iind6090_461	2.406***		-1.311***	
	[0.290]		[0.285]	
_Iind6090_462	2.256***		-0.874***	
	[0.343]		[0.296]	
_Iind6090_470	2.508***		-0.317	
	[0.296]		[0.401]	
_Iind6090_471	3.578***		-0.977***	
	[0.164]		[0.187]	
_Iind6090_472	2.744***		-1.059***	
	[0.439]		[0.362]	
_Iind6090_500	1.970***		-0.199	
	[0.255]		[0.264]	
_Iind6090_536	1.196***		0.610***	
	[0.236]		[0.208]	
_Iind6090_541	1.435***		0.097	
	[0.266]		[0.253]	
_Iind6090_542	2.151***		0.017	
	[0.462]		[0.474]	
_Iind6090_550	2.254***		-0.110	
	[0.184]		[0.191]	
_Iind6090_551	1.759***		0.294	
	[0.412]		[0.464]	
_Iind6090_552	2.272***		0.418	
	[0.391]		[0.284]	
_Iind6090_566	1.891***		0.055	
	[0.129]		[0.123]	
_Iind6090_571	1.456***		0.451	
	[0.298]		[0.303]	
_Iind6090_580	1.260***		0.301	
	[0.239]		[0.203]	
_Iind6090_581	1.543***		0.587**	
	[0.469]		[0.274]	
_Iind6090_592	1.595***		0.044	
	[0.414]		[0.409]	
_Iind6090_602	2.823***		-0.788	
	[0.571]		[0.509]	
_Iind6090_621	1.778***		0.162	
	[0.247]		[0.154]	
_Iind6090_626	1.104***		0.470***	
	[0.134]		[0.107]	
_Iind6090_630	0.454**		0.731***	
	[0.210]		[0.173]	
_Iind6090_631	-0.719**		1.447***	
	[0.330]		[0.229]	
_Iind6090_632	1.093***		0.020	
	[0.208]		[0.254]	
_Iind6090_636	1.786***		-0.206*	
	[0.156]		[0.124]	
_Iind6090_640	0.715***		0.612***	
	[0.262]		[0.194]	
_Iind6090_641	-0.058		0.120	
	[0.089]		[0.096]	
_Iind6090_642	0.598**		0.587***	
	[0.299]		[0.211]	
_Iind6090_646	1.551***		-0.003	
	[0.147]		[0.145]	
_Iind6090_650	2.232***		0.204	
	[0.530]		[0.288]	
_Iind6090_660	-0.399		1.137***	
	[0.369]		[0.229]	
_Iind6090_672	2.631***		-0.515	
	[0.358]		[0.324]	
_Iind6090_681	-0.052		1.141***	
	[0.445]		[0.297]	
_Iind6090_691	0.910***		0.600***	
	[0.223]		[0.187]	
_Iind6090_696	1.139***		0.202	
	[0.155]		[0.125]	
_Iind6090_706	2.990***		0.771***	
	[0.114]		[0.119]	
_Iind6090_710	2.714***		1.532***	
	[0.177]		[0.179]	
_Iind6090_711	1.368***		0.960***	
	[0.162]		[0.119]	
_Iind6090_712	0.230		0.891***	
	[0.145]		[0.138]	
_Iind6090_721	1.622***		0.314	
	[0.283]		[0.332]	
_Iind6090_736	1.961***		0.134	
	[0.096]		[0.087]	
_Iind6090_756	2.127***		-0.615***	
	[0.110]		[0.121]	
_Iind6090_761	-1.692***		-0.254**	
	[0.094]		[0.104]	
_Iind6090_766	0.673***		-0.917***	
	[0.123]		[0.107]	
_Iind6090_771	2.269***		-1.008***	
	[0.184]		[0.223]	
_Iind6090_776	-0.855***		-0.023	
	[0.111]		[0.104]	
_Iind6090_782	1.466***		0.643*	
	[0.553]		[0.372]	
_Iind6090_786	0.727***		-0.036	
	[0.088]		[0.105]	
_Iind6090_790	2.486***		-2.547***	
	[0.182]		[0.282]	
_Iind6090_800	0.904***		-0.058	
	[0.253]		[0.222]	
_Iind6090_801	-0.595		0.953	
	[0.517]		[0.595]	
_Iind6090_802	0.479***		0.236**	
	[0.128]		[0.119]	
_Iind6090_826	0.432***		0.895***	
	[0.104]		[0.087]	
_Iind6090_831	2.032***		0.683***	
	[0.120]		[0.093]	
_Iind6090_841	2.067***		0.635***	
	[0.221]		[0.158]	
_Iind6090_856	0.127		0.634***	
	[0.094]		[0.086]	
_Iind6090_876	-0.347**		1.439***	
	[0.146]		[0.127]	
_Iind6090_881	0.698***		0.671***	
	[0.204]		[0.167]	
_Iind6090_882	1.689***		0.874***	
	[0.218]		[0.161]	
_Iind6090_890	2.915***		-0.269*	
	[0.141]		[0.143]	
_Iind6090_901	1.411***		0.618***	
	[0.112]		[0.093]	
math		-0.079***		-0.195***
		[0.020]		[0.012]
number_facility		0.629***		-0.048***
		[0.014]		[0.009]
reason		0.255***		0.059***
		[0.019]		[0.011]
info_use		-0.959***		0.886***
		[0.019]		[0.011]
				
Observations	94,886	94,886	94,886	94,886
R-squared	0.224	0.232	0.323	0.671
Robust standard errors in brackets				
*** p<0.01, ** p<0.05, * p<0.10				
